genle,question,answer(option1),option2,option3,comment
"be動詞・現在","私は学生です。 \n I (    ) a student.", "am", "are", "is", "「私は~です」というときは、I am ~ の形を使います。"
"be動詞・現在","これは私のパソコンです。 \n (    ) is my laptop.", "This", "That", "These", "「これは~です」というときは、This is ~ の形を使います。"
"be動詞・現在","あれは私の家です。 \n (    ) is my house.", "That", "This", "Those", "「あれは~です」というときは、That is ~ の形を使います。"
"be動詞・現在","私は今忙しくないです。 \n I am (    ) busy now.", "not", "no", "like", "「私は~でない」というときは、I am not ~ の形を使います。"
"be動詞・現在","あなたは今週末ひまですか。 \n (    ) you free this weekend?", "Are", "Is", "Am", "「あなたは~ですか」ときくときは、Are you ~ ? の形を使います。"
"be動詞・現在","彼は忙しいですか。 \n (    ) he busy?", "Is", "Are", "Does", "「彼は~ですか」ときくときは、Is he ~ ? の形を使います。"
"be動詞・現在","これは何ですか。 \n What (    ) this?", "is", "are", "do", "「これは何ですか」ときくときは、 What is this? といいます。"
"be動詞・過去","ボブとメアリーは昨日忙しかった。 \n Bob and Mary (    ) busy yesterday.", "were", "was", "are", "主語(~は)が複数で現在形のとき、be 動詞は are を使います。"
"be動詞・過去","私は昨日大阪にいました。 \n I (    ) in Osaka yesterday.", "was", "is", "were", "「~」というときは、 ~ の形を使います。"
"be動詞・過去","ボブは昨日奈良にいました。 \n Bob (    ) in Nara yesterday.", "was", "were", "are", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私はその女の子を知っています。 \n I (    ) the girl.", "know", "knows", "knew", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私は犬を飼っていません。 \n I (    ) not have a dog.", "do", "does", "am", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","あなたは野球をしますか。 \n (    ) you play baseball?", "Do", "Are", "Does", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","あなたは何色が好きですか。 \n What color (    ) you like?", "do", "are", "does", "「~」というときは、 ~ の形を使います。"
"三単現","テツヤはテニスをします。 \n Tetsuya (    ) tennis.", "plays", "play", "is", "「~」というときは、 ~ の形を使います。"
"三単現","彼は犬を飼っています。 \n He (    ) a dog.", "has", "have", "haves", "「~」というときは、 ~ の形を使います。"
"三単現","彼女は音楽が好きですか。 \n (    ) she like music?", "Does", "Is", "Do", "「~」というときは、 ~ の形を使います。"
"三単現","彼女は大阪に住んでいません。 \n She (    ) not live in Osaka.", "does", "do", "is", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私は今朝朝食を食べました。 \n I (    ) breakfast this morning.", "had", "have", "eat", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私は昨日数学を勉強しました。 \n I (    ) math yesterday.", "studied", "studying", "study", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私は2日前学校に行きませんでした。 \n I (    ) not go to school two days ago.", "did", "do", "am", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","あなたは先週末京都にいきましたか。 \n (    ) you go to Kyoto last weekend?", "Did", "Do", "Do", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","あなたは昨日何をしましたか。 \n What (    ) you do yesterday?", "did", "do", "does", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私は去年アメリカへ行きました。 \n I (    ) to America last year.", "went", "go", "came", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","彼は昨日10時に家に帰りました。 \n He (    ) home at ten yesterday.", "came", "come", "comed", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私は彼女に手紙を書きました。 \n I (    ) a letter to her.", "wrote", "write", "writed", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私たちはパーティーで楽しいときを過ごしました。 \n We (    ) a good time at the party.", "had", "have", "haved", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私は今朝6時に起きました。 \n I (    ) up at six this morning.", "got", "get", "geted", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私は先週ボブに会いました。 \n I (    ) Bob last week.", "saw", "see", "seed", "「~」というときは、 ~ の形を使います。"
"疑問詞","あれは何ですか。 \n (    ) is that?", "What", "Who", "When", "「~」というときは、 ~ の形を使います。"
"疑問詞","彼は誰ですか。 \n (    ) is he?", "Who", "What", "Where", "「~」というときは、 ~ の形を使います。"
"疑問詞","彼女はどこに住んでいますか。 \n (    ) does she live?", "Where", "When", "Why", "「~」というときは、 ~ の形を使います。"
"疑問詞","箱の中に何がありますか。 \n (    ) is in the box?", "What", "Who", "Which", "「~」というときは、 ~ の形を使います。"
"疑問詞","誰が昼食を作りますか。母です。 \n (    ) makes lunch? - My mother does.", "Who", "What", "Whose", "「~」というときは、 ~ の形を使います。"
"疑問詞","あなたは何のスポーツが好きですか。 \n (    ) sport do you like?", "What", "When", "Who", "「~」というときは、 ~ の形を使います。"
"疑問詞","これは誰のものですか。 \n (    ) is this?", "Whose", "Who", "What", "「~」というときは、 ~ の形を使います。"
"疑問詞","どのかばんがあなたのものですか。 \n (    ) bag is yours?", "Which", "Whose", "Where", "「~」というときは、 ~ の形を使います。"
"疑問詞","彼は何歳ですか。 \n How (    ) is he?", "old", "age", "young", "「~」というときは、 ~ の形を使います。"
"疑問詞","これはいくらですか。 \n How (    ) is this?", "much", "many", "money", "「~」というときは、 ~ の形を使います。"
"疑問詞","何冊の本をあなたは持っていますか。 \n How (    ) books do you have?", "many", "much", "long", "「~」というときは、 ~ の形を使います。"
"疑問詞","何曜日に買い物に行きますか。 \n What (    ) do you go shopping?", "day", "date", "week", "「~」というときは、 ~ の形を使います。"
"命令文","決してここで走ってはいけません。 \n (    ) run here.", "Never", "Neglect", "Do", "「~」というときは、 ~ の形を使います。"
"命令文","野球をしましょう。 \n (    ) play baseball.", "Let\'s", "Get\'s", "Bet\'s", "「~」というときは、 ~ の形を使います。"
"命令文","遅れてはいけません。 \n Don't (    ) late", "be", "is", "do", "「~」というときは、 ~ の形を使います。"
"命令文","注意しなさい。 \n (    ) careful.", "Be", "Do", "Let", "「~」というときは、 ~ の形を使います。"
"命令文","こちらに来てください。 \n (    ) come here.", "Please", "Don\'t", "Did", "Please + 動詞の原形 : 〜してください"
"命令文","ここで走ってはいけません。 \n (    ) run here.", "Don\'t", "Do", "Aren\'t", "Don't + 動詞の原形 : 〜するな"
"名詞・冠詞","3台のバス。 \n three (    )", "buses", "bus", "buss", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","私の街には2つ図書館があります。 \n There are two (    ) in my town.", "libraries", "librarys", "library", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","いくらか水をください。 \n Give me (    ) water.", "some", "many", "much", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","オレンジジュースを2杯ほしいです。 \n I want two (    ) of orange juice.", "glasses", "cups", "pieces", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","私はコーヒを2杯ほしいです。 \n I want two (    ) of coffee.", "cups", "glasses", "tons", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","今日は授業が全くありません。 \n We don't have (    ) classes today", "any", "some", "no", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","その犬はかわいいです。 \n (    ) dog is cute.", "The", "A", "Those", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","川にはたくさんの水があります。 \n There is (    ) water in the river.", "much", "many", "no", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","ボブには3人子どもがいます。 \n Bob has three (    ).", "children", "child", "childs", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","私はピアノを演奏します。 \n I play (    ) piano.", "the", "a", "an", "「~」というときは、 ~ の形を使います。"
"名詞・冠詞","私は1つ卵がほしいです。 \n I want (    ) egg.", "an", "a", "some", "「~」というときは、 ~ の形を使います。"
"代名詞","代名詞にしてください: \n a cat and a dog", "they", "it", "she", "「~」というときは、 ~ の形を使います。"
"代名詞","代名詞にしてください: \n a cat", "it", "they", "we", "「~」というときは、 ~ の形を使います。"
"代名詞","代名詞にしてください: \n Bob and I", "we", "they", "he", "「~」というときは、 ~ の形を使います。"
"代名詞","代名詞にしてください: \n Bob and Mary", "they", "we", "he", "「~」というときは、 ~ の形を使います。"
"代名詞","代名詞にしてください: \n Taro", "he", "she", "it", "「~」というときは、 ~ の形を使います。"
"代名詞","代名詞にしてください: \n Mary", "she", "he", "it", "「~」というときは、 ~ の形を使います。"
"代名詞","代名詞にしてください: \n Bob", "he", "she", "it", "「~」というときは、 ~ の形を使います。"
"形容詞","私は今お金をほとんど持っていません。 \n I have (    ) money.", "little", "a little", "no", "「~」というときは、 ~ の形を使います。"
"形容詞","私は今お金を少し持っています。 \n I have (    ) money.", "a little", "little", "much", "「~」というときは、 ~ の形を使います。"
"形容詞","プールには水がほとんどありません。 \n There is (    ) water in the pool.", "little", "a little", "much", "「~」というときは、 ~ の形を使います。"
"形容詞","プールには少し水が入っています。 \n There is (    ) water in the pool.", "a little", "little", "much", "「~」というときは、 ~ の形を使います。"
"形容詞","公園に子どもがほとんどいません。 \n There are (    ) children in the park.", "few", "a few", "little", "「~」というときは、 ~ の形を使います。"
"形容詞","公園に数人の子どもがいます。 \n There are (    ) children in the park.", "a few", "few", "many", "「~」というときは、 ~ の形を使います。"
"形容詞","私は水を(いくらか)ほしい。 \n I want (    ) water.", "some", "any", "many", "「~」というときは、 ~ の形を使います。"
"形容詞","私はたくさんの本を持っています。 \n I have (    ) books.", "many", "much", "any", "「~」というときは、 ~ の形を使います。"
"形容詞","私は新しい自転車を持っています。 \n I have a (    ) bike.", "new", "net", "not", "「~」というときは、 ~ の形を使います。"
"形容詞","私は何か冷たいものがほしいです。 \n I want (    ).", "something cold", "cold something", "cold anything", "「~」というときは、 ~ の形を使います。"
"副詞","彼女はいつも親切です。 \n She is (    ) kind.", "always", "usually", "sometimes", "「~」というときは、 ~ の形を使います。"
"副詞","私はめったにテレビを見ません。 \n I (    ) watch TV.", "rarely", "always", "sometimes", "「~」というときは、 ~ の形を使います。"
"副詞","私はたいてい(ふつうは)6時に起きます。 \n I (    ) get up at 6.", "usually", "always", "often", "「~」というときは、 ~ の形を使います。"
"副詞","私はいつも眠たい。 \n I (    ) sleepy.", "am always", "always am", "always", "「~」というときは、 ~ の形を使います。"
"副詞","私の母は朝早く起きます。 \n My mother wakes up (    ) in the morning.", "early", "fast", "faster", "「~」というときは、 ~ の形を使います。"
"副詞","私はときどきテレビを見ます。 \n I (    ) watch TV.", "sometimes", "usually", "always", "「~」というときは、 ~ の形を使います。"
"副詞","私はいつもスシローに行きます。 \n I (    ) to Sushiro.", "always go", "go always", "always going", "「~」というときは、 ~ の形を使います。"
"副詞","私はしばしば公園にいきます。 \n I (    ) go to the park.", "often", "always", "usually", "「~」というときは、 ~ の形を使います。"
"副詞","私は彼女をよく知っています。 \n I know her (    ).", "well", "much", "lot", "「~」というときは、 ~ の形を使います。"
"前置詞","英語で話しましょう。 \n Let's speak (    ) English", "in", "on", "at", "「~」というときは、 ~ の形を使います。"
"前置詞","私は駅の近くに住んでいます。 \n I live (    ) the station", "near", "in", "under", "「~」というときは、 ~ の形を使います。"
"前置詞","郵便局は川のそばにあります。 \n The post ofice is (    ) the river", "by", "in", "over", "「~」というときは、 ~ の形を使います。"
"前置詞","木の下で \n (    ) the tree", "under", "on", "in", "「~」というときは、 ~ の形を使います。"
"前置詞","ペンで名前を書いてください。 \n Please write your name (    ) a pen.", "with", "in", "on", "「~」というときは、 ~ の形を使います。"
"前置詞","私は電車で学校に行きます。 \n I go to school (    ) train.", "by", "on", "in", "「~」というときは、 ~ の形を使います。"
"前置詞","夕食の前に \n (    ) dinner", "before", "at", "after", "「~」というときは、 ~ の形を使います。"
"前置詞","昼食の後で \n (    ) lunch", "after", "before", "in", "「~」というときは、 ~ の形を使います。"
"前置詞","私は大阪に2週間滞在する予定です。 \n I'll stay in Osaka (    ) 2 weeks", "for", "during", "in", "「~」というときは、 ~ の形を使います。"
"前置詞","私は夏休みの間アメリカに滞在する予定です。 \n I'll staty in America (    ) the summer vacation", "during", "at", "when", "「~」というときは、 ~ の形を使います。"
"前置詞","私は4月1日に生まれました。 \n I was born (    ) April 1.", "on", "at", "in", "「~」というときは、 ~ の形を使います。"
"前置詞","彼は夏によく登山をします。 \n He often goes climbing (    ) summer.", "in", "on", "at", "「~」というときは、 ~ の形を使います。"
"前置詞","日本では学校は4月に始まります。 \n School starts in April (    ) Japan.", "in", "at", "on", "「~」というときは、 ~ の形を使います。"
"前置詞","私は日曜日に泳ぎに行きます。 \n I go swimming (    ) Sunday.", "on", "in", "at", "「~」というときは、 ~ の形を使います。"
"前置詞","私を見て。 \n Look (    ) me.", "at", "on", "in", "「~」というときは、 ~ の形を使います。"
"前置詞","私はテレビでサッカーの試合を見ました。 \n I watched the soccer game (    ) TV.", "on", "at", "in", "「~」というときは、 ~ の形を使います。"
"前置詞","彼はカナダから日本に来ました。 \n He came to Japan (    ) Canada.", "from", "in", "on", "「~」というときは、 ~ の形を使います。"
"前置詞","私の犬はベッドの上にいます。 \n My dog is (    ) the bed.", "on", "onto", "under", "「~」というときは、 ~ の形を使います。"
"前置詞","彼は2010年に韓国を訪れました。 \n He visited Korea (    ) 2010.", "in", "on", "at", "「~」というときは、 ~ の形を使います。"
"前置詞","私は7時に起きます。 \n I get up (    ) seven.", "at", "on", "under", "「~」というときは、 ~ の形を使います。"
"現在進行形","私は今手紙を書いています。 \n I (    ) a letter now.", "am writing", "is writing", "am writeing", "「~」というときは、 ~ の形を使います。"
"現在進行形","彼女は今コンピュータを使っています。 \n She (    ) a computer now.", "is using", "using", "is useing", "「~」というときは、 ~ の形を使います。"
"現在進行形","私は今川で泳いでいます。 \n I (    ) in the river now.", "am swimming", "am swiming", "swim", "「~」というときは、 ~ の形を使います。"
"現在進行形","あなたは今どこを歩いていますか。 \n Where are you (    ) now?", "walking", "walk", "walked", "「~」というときは、 ~ の形を使います。"
"現在進行形","あなたは何をしていますか。 \n What (    ) you doing?", "are", "am", "is", "「~」というときは、 ~ の形を使います。"
"現在進行形","あなたは今勉強をしていますか。 \n (    ) you studying now?", "Are", "Is", "Were", "「~」というときは、 ~ の形を使います。"
"現在進行形","彼女は今本を読んでいません。 \n She is (    ) reading a book now.", "not", "no", "net", "「~」というときは、 ~ の形を使います。"
"現在進行形","私は今数学を勉強しています。 \n I am (    ) math now.", "studying", "study", "studied", "「~」というときは、 ~ の形を使います。"
"過去進行形","私はそのとき手紙を書いていました。 \n I was writing a letter at (    ) time.", "that", "this", "then", "「~」というときは、 ~ の形を使います。"
"過去進行形","私はそのとき手紙を書いていました。 \n I was writing a letter (    ).", "then", "now", "there", "「~」というときは、 ~ の形を使います。"
"過去進行形","私はそのとき手紙を書いていました。 \n I (    ) a letter then.", "was writing", "writing", "am writing", "「~」というときは、 ~ の形を使います。"
"過去進行形","彼女はそのときコンピュータを使っていました。 \n She (    ) a computer then.", "was using", "was useing", "was use", "「~」というときは、 ~ の形を使います。"
"過去進行形","私はそのとき川で泳いでいました。 \n I (    ) in the river then.", "was swimming", "was swiming", "swimming", "「~」というときは、 ~ の形を使います。"
"過去進行形","あなたはどこを走っていたんですか。 \n Where (    ) you running?", "were", "was", "are", "「~」というときは、 ~ の形を使います。"
"過去進行形","あなたはそのとき何をしていましたか。 \n What (    ) you doing then?", "were", "are", "do", "「~」というときは、 ~ の形を使います。"
"過去進行形","彼女はそのとき本を読んでいませんでした。 \n She (    ) reading a book then.", "was not", "not", "is not", "「~」というときは、 ~ の形を使います。"
"過去進行形","私はそのとき数学を勉強していました。 \n I (    ) math then.", "was studying", "was study", "studying", "「~」というときは、 ~ の形を使います。"
"助動詞","あなたは今すぐに寝るべきです。 \n You (    ) go to bed right now.", "should", "shold", "scold", "「~」というときは、 ~ の形を使います。"
"助動詞","入ってもいいですか。 \n (    ) I come in?", "May", "Shall", "Must", "「~」というときは、 ~ の形を使います。"
"助動詞","あなたは早く起きる必要はありません。 \n You (    ) get up early.", "don\'t have to", "have to", "have", "「~」というときは、 ~ の形を使います。"
"助動詞","あなたはここで泳いではいけません。 \n You (    ) swim here.", "must not", "not", "do not", "「~」というときは、 ~ の形を使います。"
"助動詞","彼女は夕食を作らなければいけない。 \n She (    ) make dinner.", "must", "may", "can", "「~」というときは、 ~ の形を使います。"
"助動詞","あなたは英語を話せますか。 \n (    ) you speak English?", "Can", "May", "Con", "「~」というときは、 ~ の形を使います。"
"助動詞","彼は速く走ることができます。 \n He (    ) run fast.", "can", "may", "must", "「~」というときは、 ~ の形を使います。"
"接続詞・従属","私は彼は正しいと思います。 \n I think (    ) he is right.", "that", "this", "the", "「~」というときは、 ~ の形を使います。"
"接続詞・従属","私は猫はかわいいから好きです。 \n I like cats (    ) they are cute.", "because", "so", "if", "「~」というときは、 ~ の形を使います。"
"接続詞・従属","もしあなたが暇ならば私の家に来てください。 \n (    ) you are free, please come to my house.", "If", "Elif", "It", "「~」というときは、 ~ の形を使います。"
"接続詞・従属","私が起きたとき雨が降っていました。 \n I was raining (    ) I got up.", "when", "if", "because", "「~」というときは、 ~ の形を使います。"
"接続詞・従属","私は空腹だったので多く食べました。 \n I was hungry, (    ) I ate a lot.", "so", "because", "but", "「~」というときは、 ~ の形を使います。"
"接続詞・等位","私は忙しいですが疲れていません。 \n I am busy, (    ) I am not tired.", "but", "and", "so", "「~」というときは、 ~ の形を使います。"
"接続詞・等位","私はペンかえんぴつを使います。 \n I use a pen (    ) a pencil.", "or", "and", "either", "「~」というときは、 ~ の形を使います。"
"接続詞・等位","私は野球とサッカーをします。 \n I play baseball (    ) soccer.", "and", "or", "but", "「~」というときは、 ~ の形を使います。"
"未来・be_going_to","あなたは明日何をする予定ですか。 \n What are you (    ) to do tomorrow?", "going", "go", "gooing", "「~」というときは、 ~ の形を使います。"
"未来・be_going_to","ボブは７時に出発する予定ですか。 \n (    ) Bob going to leave at seven?", "Is", "Are", "Am", "「~」というときは、 ~ の形を使います。"
"未来・be_going_to","私は彼女に電話をするつもりはありません。 \n I (    ) going to call her.", "am not", "not", "don't", "「~」というときは、 ~ の形を使います。"
"未来・be_going_to","あなたは部屋を掃除するつもりですか。 \n (    ) you clean the room?", "Will", "Can", "Must", "「~」というときは、 ~ の形を使います。"
"未来・be_going_to","私は映画を見る予定です。 \n I am (    ) to see the movie.", "going", "doing", "playing", "「~」というときは、 ~ の形を使います。"
"未来・will","彼女は中国を訪問するつもりではありません。 \n She (    ) visit China.", "won\'t", "doesn\'t", "don\'t", "「~」というときは、 ~ の形を使います。"
"未来・will","彼女は中国を訪れるつもりではありません。 \n She will (    ) visit China.", "not", "yet", "no", "「~」というときは、 ~ の形を使います。"
"未来・will","私は早く帰宅するつもりです。 \n I (    ) come home early.", "will", "may", "won\'t", "「~」というときは、 ~ の形を使います。"
"同等比較・否定","ユミはベスほど背が高くありません。 \n Yumi is (    ) as tall as Beth.", "not", "no", "yet", "「~」というときは、 ~ の形を使います。"
"同等比較・肯定","彼はボブと同じくらい速く走れます。 \n He can run (    ) fast (    ) Bob.", "as", "at", "in", "「~」というときは、 ~ の形を使います。"
"同等比較・肯定","このペンはそのペンと同じくらい新しいです。 \n This pen is (    ) new (    ) that one.", "as", "at", "in", "「~」というときは、 ~ の形を使います。"
"最上級・短い場合","このクイズは全てのなかで一番簡単です。 \n The quiz is (    ) of all.", "the easiest", "the easy", "easy", "「~」というときは、 ~ の形を使います。"
"最上級・短い場合","ボブは3人の中で一番背が高いです。 \n Bob is the tallest (    ) the three.", "of", "in", "on", "「~」というときは、 ~ の形を使います。"
"最上級・短い場合","ボブはクラスの中で一番背が高いです。 \n Bob is (    ) in the class.", "the tallest", "the tall", "the taller", "「~」というときは、 ~ の形を使います。"
"比較級・短い場合・副詞","私はユミよりも速く走れます。 \n I can run faster (    ) Yumi", "than", "at", "in", "「~」というときは、 ~ の形を使います。"
"比較級・短い場合","トムはボブよりも背が高いです。 \n Tom is (    ) than Bob.", "taller", "shorter", "tall", "「~」というときは、 ~ の形を使います。"
"最上級・短い場合","5人の中で一番若いのは誰ですか。 \n Who is (    ) of the five?", "the youngest", "the younger", "the young", "「~」というときは、 ~ の形を使います。"
"比較級・熟語","この猫とあなたの猫はどちらがより小さいですか。 \n (    ) is smaller, this cat or yours?", "Which", "What", "Where", "「~」というときは、 ~ の形を使います。"
"比較級・熟語","私は数学よりも英語が好きです。 \n I like English (    ) than math.", "better", "best", "well", "「~」というときは、 ~ の形を使います。"
"最上級・不規則変化","これは3つの中で一番良いカメラです。 \n This is (    ) camera of the three.", "the best", "better", "good", "「~」というときは、 ~ の形を使います。"
"比較級・不規則変化","あなたのカメラは私のものよりも良いです。 \n Your camera is (    ) than mine.", "better", "best", "good", "「~」というときは、 ~ の形を使います。"
"最上級・長い場合","これは全ての中で一番興味深い本です。 \n This is (    ) interesting book of all.", "the most", "the more", "the very", "「~」というときは、 ~ の形を使います。"
"比較級・長い場合","サッカーは卓球よりも人気があります。 \n Soccer is (    ) popular than table tennis.", "more", "most", "very", "「~」というときは、 ~ の形を使います。"
"不定詞・副詞的用法","私はその手紙を読んで悲しかった。 \n I was sad (    ) read the letter.", "to", "at", "for", "「~」というときは、 ~ の形を使います。"
