genle,question,answer(option1),option2,option3,comment
"不定詞・副詞的用法","私はそれを聞いてうれしいです。 \n I'm glad (    ) heat that. ", "to", "in", "at", "「~」というときは、 ~ の形を使います。"
"不定詞・形容詞的用法","私は何か飲むものがほしいです。 \n I want something (    ) drink.", "to", "at", "in", "「~」というときは、 ~ の形を使います。"
"不定詞・形容詞的用法","私たちはすべき仕事をたくさん持っています。 \n We have a lot of work (    ) do.", "to", "on", "at", "「~」というときは、 ~ の形を使います。"
"不定詞・副詞的用法","私たちはサッカーをするために公園へいきます。 \n We go to the park (    ) play soccer.", "to", "on", "at", "「~」というときは、 ~ の形を使います。"
"不定詞・副詞的用法","私は散歩をするために早く起床します。 \n I get up early (    ) walk.", "to", "with", "on", "「~」というときは、 ~ の形を使います。"
"不定詞・名詞的用法","私の夢はプログラマーになることです。 \n My dream is (    ) a programmer.", "to be", "to", "be", "「~」というときは、 ~ の形を使います。"
"不定詞・名詞的用法","私は新しい車を買いたいです。 \n I (    ) buy a new car.", "want to", "wanting", "want", "「~」というときは、 ~ の形を使います。"
"不定詞・名詞的用法","私は本を読むことが好きです。 \n I like (    ) books.", "to read", "read", "reads", "「~」というときは、 ~ の形を使います。"
"動名詞","私は手紙を書き終えました。 \n I finished (    ) a letter.", "writing", "write", "to write", "「~」というときは、 ~ の形を使います。"
"動名詞","歌うことは楽しいです。 \n (    ) is fun.", "Singing", "Sing", "Singer", "「~」というときは、 ~ の形を使います。"
"動名詞","彼は何も言わずに外へ出ました。 \n He went out (    ) anything.", "without saying", "without say", "with saying", "「~」というときは、 ~ の形を使います。"
"動名詞","私を助けてくれてありがとう。 \n Thank you (    ) me.", "for helping", "for help", "to help", "「~」というときは、 ~ の形を使います。"
"動名詞","彼女は泣くために立ち止まりました。 \n She stopped (    ) cry.", "to", "in", "on", "「~」というときは、 ~ の形を使います。"
"動名詞","彼女は泣くことをやめました。 \n She stopped (    ).", "crying", "cry", "cryying", "「~」というときは、 ~ の形を使います。"
"動名詞","英語を勉強することは重要です。 \n (    ) English is important.", "Studying", "Study", "Studied", "「~」というときは、 ~ の形を使います。"
"動名詞","私の仕事は英語を教えることです。 \n My job is (    ) English.", "teaching", "teach", "teaches", "「~」というときは、 ~ の形を使います。"
"動名詞","私はゲームをして楽しみます。 \n I (    ) video games.", "enjoy playing", "enjoy play", "enjoy to play", "「~」というときは、 ~ の形を使います。"
"There構文・現在","この近くにコンビニがあります。 \n There (    ) a convenience store near here.", "is", "are", "was", "「~」というときは、 ~ の形を使います。"
"There構文・現在","駅には自転車が何台かありますか。 \n (    ) there any bikes at the station?", "Are", "Were", "Is", "「~」というときは、 ~ の形を使います。"
"There構文・現在","ここの近くにはレストランはありません。 \n There is (    ) a restaurant near here.", "not", "no", "yet", "「~」というときは、 ~ の形を使います。"
"There構文・現在","その公園には少年が数人います。 \n There (    ) some boys in the park.", "are", "is", "were", "「~」というときは、 ~ の形を使います。"
"There構文・現在","私の家の近くには公園があります。 \n (    ) is a park near my house.", "There", "Then", "Where", "「~」というときは、 ~ の形を使います。"
"There構文・現在","机の上に本があります。 \n There (    ) a book on the desk.", "is", "are", "was", "「~」というときは、 ~ の形を使います。"
"There構文・過去","以前日本には多くの子どもがいました。 \n There (    ) many children in Japan before.", "were", "was", "are", "「~」というときは、 ~ の形を使います。"
"There構文・過去","公園にたくさん子供がいました。 \n There (    ) many children in the park.", "were", "are", "was", "「~」というときは、 ~ の形を使います。"
"There構文・過去","古い家に男性が一人いました。 \n There (    ) a man in the old house.", "was", "were", "is", "「~」というときは、 ~ の形を使います。"
"There構文・過去","私のカバンには3冊の本がありました。 \n (    ) were three books in my bag.", "There", "These", "They", "「~」というときは、 ~ の形を使います。"
"受け身・過去","彼女はいつ生まれましたか。 \n When (    ) she born?", "was", "is", "were", "「~」というときは、 ~ の形を使います。"
"受け身・過去","この車はいつ作られましたか。 \n When (    ) this car made?", "was", "is", "were", "「~」というときは、 ~ の形を使います。"
"受け身・現在","その歌は若い人たちに好まれていますか。 \n Is the song (    ) by young people?", "loved", "love", "loves", "「~」というときは、 ~ の形を使います。"
"受け身・現在","あれらの部屋は今日は掃除されません。 \n Those rooms are (    ) cleaned today.", "not", "no", "don\'t", "「~」というときは、 ~ の形を使います。"
"受け身・現在","その歌は多くの人たちに愛されています。 \n The song is (    ) by many people.", "loved", "love", "loving", "「~」というときは、 ~ の形を使います。"
"受け身・現在","この図書館は５時に閉まりません。 \n This library (    ) closed at five.", "isn\'t", "aren\'t", "don\'t", "「~」というときは、 ~ の形を使います。"
"受け身・過去","このパソコンはジョンに使われました。 \n This pc was used (    ) John.", "by", "in", "on", "「~」というときは、 ~ の形を使います。"
"受け身・現在","サッカーは多くの国でプレイされます。 \n Soccer is (    ) in many countries.", "played", "play", "playing", "「~」というときは、 ~ の形を使います。"
"受け身・過去","ボブはジョンに助けられました。 \n Bob (    ) helped by John.", "was", "is", "were", "「~」というときは、 ~ の形を使います。"
"受け身・現在","英語は多くの国で使われています。 \n English is (    ) in many countries.", "used", "use", "using", "「~」というときは、 ~ の形を使います。"
"現在完了形・継続","1週間の間雨は降っていません。 \n It has (    ) rained for a week.", "not", "not", "yet", "「~」というときは、 ~ の形を使います。"
"現在完了形・継続","あなたは日本にどれくらいの間住んでいますか。 \n How (    ) have you lived in Japan?", "long", "many", "far", "「~」というときは、 ~ の形を使います。"
"現在完了形・継続","トムは2年間天川に住んでいます。 \n Tom (    ) lived in Tenkawa for 2 years.", "has", "does", "have", "「~」というときは、 ~ の形を使います。"
"現在完了形・継続","私は生まれて以来ずっと奈良に住んでいます。 \n I have lived in Nara (    ) I was born.", "since", "for", "when", "「~」というときは、 ~ の形を使います。"
"現在完了形・継続","私は14年間奈良に住んでいます。 \n I have lived in Nara (    ) 14 years.", "for", "in", "during", "「~」というときは、 ~ の形を使います。"
"現在完了形・継続","私は12年間天川に住んでいます。 \n I (    ) lived in Tenkawa for 12 years.", "have", "has", "am", "「~」というときは、 ~ の形を使います。"
"現在完了形・完了","私はちょうど昼食を食べたところです。 \n I have just (    ) lunch.", "eaten", "eat", "ate", "「~」というときは、 ~ の形を使います。"
"現在完了形・完了","あなたはもう宿題を終えましたか。 \n Have you done your homework (    )?", "yet", "already", "yes", "「~」というときは、 ~ の形を使います。"
"現在完了形・完了","私はまだ昼食を食べ終えていません。 \n I haven't finished having lunch (    ).", "yet", "yes", "just", "「~」というときは、 ~ の形を使います。"
"現在完了形・完了","彼女はちょうど昼食を食べたところです。 \n She (    ) just eaten lunch.", "has", "have", "haves", "「~」というときは、 ~ の形を使います。"
"現在完了形・完了","私たちはすでにその部屋を掃除しました。 \n We have (    ) cleaned the room.", "already", "just", "yet", "「~」というときは、 ~ の形を使います。"
"現在完了形・完了","私はちょうど宿題を終えたところです。 \n I have just (    ) my homework.", "finished", "finish", "finishing", "「~」というときは、 ~ の形を使います。"
"現在完了形・経験","あなたは以前に東京に行ったことはありますか。 \n Have you (    ) been to Tokyo before?", "ever", "never", "get", "「~」というときは、 ~ の形を使います。"
"現在完了形・経験","私は3日間ずっと気分が悪かった。 \n I have (    ) sick for three days.", "been", "be", "being", "「~」というときは、 ~ の形を使います。"
"現在完了形・経験","私は東京に2度行ったことがある。 \n I have (    ) to Tokyo twice.", "been", "being", "gone", "「~」というときは、 ~ の形を使います。"
"現在完了形・経験","彼女は3回その映画を見たことがある。 \n She has (    ) the movie three times.", "seen", "saw", "see", "「~」というときは、 ~ の形を使います。"
"現在完了形・経験","私はカナダを一度訪れたことがある。 \n I (    ) visited Canada once.", "have", "has", "do", "「~」というときは、 ~ の形を使います。"
"分詞の形容詞的用法・過去分詞","これは漱石によって書かれた本です。 \n This is the book (    ) by Soseki.", "written", "writen", "writtn", "「~」というときは、 ~ の形を使います。"
"分詞の形容詞的用法・過去分詞","これは1950年に発売された車です。 \n This is a car (    ) in 1950.", "sold", "solded", "sell", "「~」というときは、 ~ の形を使います。"
"分詞の形容詞的用法・過去分詞","私はドイツ製の車を持っています。 \n I have a pen (    ) in Germany.", "made", "make", "maded", "「~」というときは、 ~ の形を使います。"
"分詞の形容詞的用法・過去分詞","これはジョンによって使われているペンです。 \n This is the guitar (    ) by John.", "used", "use", "using", "「~」というときは、 ~ の形を使います。"
"分詞の形容詞的用法・現在分詞","私はケーキを作っている女性を知っています。 \n I know the woman (    ) a cake.", "making", "make", "made", "「~」というときは、 ~ の形を使います。"
"分詞の形容詞的用法・現在分詞","向こうで歩いている男性は誰ですか。 \n Who is the man (    ) over there?", "walking", "walk", "walked", "「~」というときは、 ~ の形を使います。"
"分詞の形容詞的用法・現在分詞","サッカーをしている少年はボブです。 \n The boy (    ) soccer is Bob.", "playing", "play", "played", "「~」というときは、 ~ の形を使います。"
"分詞の形容詞的用法・現在分詞","私は向こうで走っている少年を知っています。 \n I know the boy (    ) over there.", "running", "run", "ran", "「~」というときは、 ~ の形を使います。"
"不定詞・it_to構文","早く起きるのは難しいですね。 \n (    ) is hard to get up early.", "It", "That", "This", "「~」というときは、 ~ の形を使います。"
"不定詞・it_to構文","奈良でお寺を見ることは面白かったです。 \n It (    ) interesting to see temples in Nara.", "was", "is", "were", "「~」というときは、 ~ の形を使います。"
"不定詞・it_to構文","英語を話すことは簡単ですか。 \n (    ) it easy to speak English?", "Is", "Are", "Was", "「~」というときは、 ~ の形を使います。"
"不定詞・it_to構文","私にとって泳ぐことは簡単です。 \n It was easy (    ) me to swim.", "for", "to", "with", "「~」というときは、 ~ の形を使います。"
"不定詞・it_to構文","年配の人々を助けることは重要です。 \n It is important (    ) help old people.", "to", "for", "at", "「~」というときは、 ~ の形を使います。"
"不定詞・svo_to_do構文","私は彼女に君を手伝うように頼みました。 \n I asked her (    ) help you.", "to", "at", "for", "「~」というときは、 ~ の形を使います。"
"不定詞・svo_to_do構文","私はボブに勉強するように言った。 \n I (    ) Bob to study.", "told", "tell", "said", "「~」というときは、 ~ の形を使います。"
"不定詞・svo_to_do構文","私はあなたにその部屋を掃除してほしい。 \n I want you (    ) the room.", "to clean", "clean", "cleaning", "「~」というときは、 ~ の形を使います。"
"不定詞・svo_to_do構文","彼に帰るように言ってください。 \n Please (    ) him to come back.", "tell", "say", "go", "「~」というときは、 ~ の形を使います。"
"間接疑問文","誰が英語を話せるか知っていますか。 \n Do you know (    ) can speak English?", "who", "whose", "what", "「~」というときは、 ~ の形を使います。"
"間接疑問文","私は彼がそのときどこにいたか知りません。 \n I don't know (    ) then.", "where he was", "where was he", "he was where", "「~」というときは、 ~ の形を使います。"
"間接疑問文","私は箱に何があるか知っています。 \n I know what (    ) in the box.", "is", "are", "was", "「~」というときは、 ~ の形を使います。"
"間接疑問文","私はなぜあなたが泣いているか知りません。 \n I don't know (    ) you are crying.", "why", "what", "how", "「~」というときは、 ~ の形を使います。"
"間接疑問文","私はあなたがいつ出発したか知りませんでした。 \n I didn't know (    ) you left.", "when", "where", "what", "「~」というときは、 ~ の形を使います。"
"間接疑問文","あなたは彼がどこにいるか知っていますか。 \n Do you know (    ) he is?", "where", "when", "why", "「~」というときは、 ~ の形を使います。"
"間接疑問文","私は彼女が誰なのか知っています。 \n I don't know (    ).", "who she is", "who is she", "she is who", "「~」というときは、 ~ の形を使います。"
"付加疑問文","大阪に行きましょうよ。 \n Let's go to Osaka, (    ) we?", "shall", "will", "may", "「~」というときは、 ~ の形を使います。"
"付加疑問文","彼は車を持っていませんよね。 \n He doesn't have a car, (    ) he?", "does", "has", "have", "「~」というときは、 ~ の形を使います。"
"付加疑問文","彼女はぶどうが好きですよね。 \n She likes grapes, (    ) she?", "doesn\'t", "does", "do", "「~」というときは、 ~ の形を使います。"
"付加疑問文","あなたは京都に行っていませんでしたよね。 \n You didn't go to Kyoto, (    ) you?", "did", "do", "does", "「~」というときは、 ~ の形を使います。"
"付加疑問文","あなたは大阪に行きましたよね。 \n You went to Osaka, (    ) you?", "didn\'t", "did", "do", "「~」というときは、 ~ の形を使います。"
"付加疑問文","あなたは犬が好きですよね。 \n You like dogs, (    ) you?", "don\'t", "didn\'t", "do", "「~」というときは、 ~ の形を使います。"
"否定疑問文","あなたは寿司が好きではないのですか？ - はい。好きではないです。 \n Don't you like sushi? - (    ). I don't like it.", "No", "Yes", "Not", "「~」というときは、 ~ の形を使います。"
"否定疑問文","あなたは寿司が好きではないのですか？ - いいえ。好きです。 \n Don't you like sushi? - (    ). I like it.", "Yes", "No", "Not", "「~」というときは、 ~ の形を使います。"
"否定疑問文","昨日は仕事をしなかったのですか。 \n (    ) you work yesterday?", "Didn\'t", "Did", "Do", "「~」というときは、 ~ の形を使います。"
"否定疑問文","先週彼は病気ではなかったのですか。 \n (    ) he sick last week?", "Wasn\'t", "Was", "Were", "「~」というときは、 ~ の形を使います。"
"否定疑問文","私は家に帰れないのですか。 \n (    ) I go home?", "Can\'t", "Can", "May", "「~」というときは、 ~ の形を使います。"
"否定疑問文","彼女はバレーボールをしないのですか。 \n (    ) she play volleyball?", "Doesn\'t", "Does", "Do", "「~」というときは、 ~ の形を使います。"
"否定疑問文","あなたは学生ではないのですか。 \n (    ) you a student?", "Aren\'t", "Are", "Do", "「~」というときは、 ~ の形を使います。"
"否定疑問文","あなたは牛乳が好きではないのですか。 \n (    ) you like milk?", "Don\'t", "Do", "Does", "「~」というときは、 ~ の形を使います。"
"関係代名詞・主格","これは1500年以上も前に建てられたお寺です。 \n This is the temple (    ) was build over 1500 years ago.", "which", "who", "whose", "「~」というときは、 ~ の形を使います。"
"関係代名詞・主格","青い目をしたその猫はキャッシーです。 \n The cat (    ) has blue eyes is Kethy.(wで始めて)", "which", "what", "who", "「~」というときは、 ~ の形を使います。"
"関係代名詞・主格","これは飛ぶことができない鳥です。 \n This is the bird (    ) cannot fly.", "that", "who", "whose", "「~」というときは、 ~ の形を使います。"
"関係代名詞・主格","私は英語を話せる姉がいます。 \n I have a sister (    ) can speak English.", "who", "which", "whose", "「~」というときは、 ~ の形を使います。"
"関係代名詞・主格","これは先週に開店したお店です。 \n This is the shop (    ) opened last week.", "which", "who", "when", "「~」というときは、 ~ の形を使います。"
"関係代名詞・主格","これは奈良へ行くバスです。 \n This is the bus (    ) goes to Nara.", "that", "whre", "who", "「~」というときは、 ~ の形を使います。"
"関係代名詞・主格","ジョンは速く走る犬です。 \n John is a dog (    ) runs fast. ", "which", "who", "can", "「~」というときは、 ~ の形を使います。"
"関係代名詞・主格","私はプログラミングが好きな友人がいます。 \n I have a friend (    ) likes programming.", "who", "which", "whose", "「~」というときは、 ~ の形を使います。"
"関係代名詞・目的格","これは私が書いた本です。 \n This is the book (    ).", "I wrote", "wrote", "I write", "「~」というときは、 ~ の形を使います。"
"関係代名詞・目的格","ジョンは私たちが知っている少年です。 \n John is (    ).", "a boy we know", "a boy know we", "we know a boy", "「~」というときは、 ~ の形を使います。"
"関係代名詞・目的格","私はボブがとった写真を数枚もっています。 \n I have some pictures (    ) Bob took.", "that", "who", "where", "「~」というときは、 ~ の形を使います。"
"関係代名詞・目的格","これは私が買ったコンピュータです。 \n This is the computer (    ) I bought.", "which", "when", "who", "「~」というときは、 ~ の形を使います。"
"関係代名詞・目的格","彼女は私が好きな女の子です。 \n She is the girl (    ) I like.", "that", "which", "what", "「~」というときは、 ~ の形を使います。"
"会話表現","お茶を少しいかがですか。 \n Would you (    ) some tea?", "like", "come", "such", "「~」というときは、 ~ の形を使います。"
"会話表現","（電話で）ジョンに代わってもらえますか。 \n May I (    ) to John, please?", "speak", "say", "hello", "「~」というときは、 ~ の形を使います。"
"会話表現","どのバスが清水寺に行きますか。 \n Which bus (    ) to Kiyomizu Temple?", "goes", "go", "come", "「~」というときは、 ~ の形を使います。"
"会話表現","伝言を残していいですか。 \n Can I (    ) a message?", "leave", "leaves", "leaving", "「~」というときは、 ~ の形を使います。"
"会話表現","次の角を右に曲がってください。 \n (    ) right at the next corner.", "Turn", "Get", "Come", "「~」というときは、 ~ の形を使います。"
"会話表現","駅へはどうすればいけるでしょうか。 \n How can I (    ) to the station?", "get", "look", "across", "「~」というときは、 ~ の形を使います。"
"会話表現","寿司を食べませんか。 \n Why don't (    ) have sushi?", "we", "you", "us", "「~」というときは、 ~ の形を使います。"
"会話表現","この本を読んではどうですか。 \n Why (    ) you read this book?", "don\'t", "do", "does", "「~」というときは、 ~ の形を使います。"
"会話表現","図書館に行きませんか。 \n Shall (    ) go to the library?", "we", "I", "you", "「~」というときは、 ~ の形を使います。"
"会話表現","窓を開けましょうか。 \n Shall (    ) open the window?", "I", "we", "you", "「~」というときは、 ~ の形を使います。"
"会話表現","（具合が悪そうな人に）どうしたんですか。 \n What\'s the (    )?", "matter", "group", "today", "「~」というときは、 ~ の形を使います。"
"会話表現","(お店で)いらっしゃいませ。 \n May I (    ) you?", "help", "talk", "say", "「~」というときは、 ~ の形を使います。"
"会話表現","いいえ結構です。 \n No， (    ) you.", "thank", "say", "Good", "「~」というときは、 ~ の形を使います。"
"会話表現","どういたしまして。 \n You\'re (    ).", "welcome", "wellcome", "wellgo", "「~」というときは、 ~ の形を使います。"
"会話表現","なるほど。 \n I (    ).", "see", "saw", "seen", "「~」というときは、 ~ の形を使います。"
"会話表現","私もそう思います。 \n I think (    ), too.", "so", "in", "at", "「~」というときは、 ~ の形を使います。"
"会話表現","さようなら。 \n (    ).", "Goodbye", "Goodday", "Goodman", "「~」というときは、 ~ の形を使います。"
"会話表現","はじめまして。 \n Nice (    ) meet you.", "to", "in", "on", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","この電車はまもなく京都駅につきます。 \n This train will arrive (    ) the Kyoto station soon.", "at", "in", "on", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","この電車はまもなく京都につきます。 \n This train will arrive (    ) Kyoto soon.", "in", "at", "on", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","私は22時に寝ました。 \n I went (    ) bed at 22:00.", "to", "at", "with", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","ユキは帽子をかぶりましt。 \n Yuki put (    ) a hat.", "on", "at", "in", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","それは犬のように見えます。 \n It looks (    ) a dog.", "like", "such", "on", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","私はその歌をよく聞きました。 \n I often listened (    ) that song.", "to", "at", "in", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","ジョンのことは聞きましたか。 \n Did you hear (    ) John?", "of", "at", "with", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","私は日本出身です。 \n I come (    ) Japan.", "from", "in", "where", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","辞書で単語を調べてください。 \n Please look (    ) a word in a dictionary.", "up", "in", "at", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","彼は赤ちゃんを世話しているところです。 \n He\'s looking (    ) his baby.", "after", "at", "on", "「~」というときは、 ~ の形を使います。"
"熟語・動詞","私は赤いかばんを探しているところです。 \n I\'m looking (    ) a red bag.", "for", "at", "after", "「~」というときは、 ~ の形を使います。"
"熟語・形容詞","私は犬のような動物が好きです。 \n I like animals (    ) as dogs.", "such", "like", "sach", "「~」というときは、 ~ の形を使います。"
"熟語・形容詞","私は犬が怖いです。 \n I am afraid (    ) dogs.", "of", "in", "at", "「~」というときは、 ~ の形を使います。"
"熟語・形容詞","彼はみんなに優しいです。 \n He is kind (    ) everyone.", "to", "in", "with", "「~」というときは、 ~ の形を使います。"
"熟語・形容詞","私はそのニュースに驚きました。 \n I was surprised (    ) the news.", "at", "on", "with", "「~」というときは、 ~ の形を使います。"
"熟語・形容詞","私は数学に興味があります。 \n I am interested (    ) math.", "in", "at", "on", "「~」というときは、 ~ の形を使います。"
"熟語・形容詞","私のアイデアはあなたのものとは違います。 \n My idea is different (    ) yours.", "from", "in", "at", "「~」というときは、 ~ の形を使います。"
"熟語・形容詞","彼は料理が得意です。 \n He is (    ) at cooking.", "good", "well", "fun", "「~」というときは、 ~ の形を使います。"
"熟語・形容詞","私は2010年に生まれました。 \n I was (    ) in 2010.", "born", "bore", "bear", "「~」というときは、 ~ の形を使います。"
"熟語・形容詞","彼女は泳ぐことができます。 \n She is (    ) to swim.", "able", "can", "going", "「~」というときは、 ~ の形を使います。"
"熟語・副詞","私は日本食例えば寿司が好きです。 \n I like Japanese food, for (    ), sushi.", "example", "like", "such", "「~」というときは、 ~ の形を使います。"
"熟語・副詞","あなたは向こうにある赤い車が見えますか。 \n Can you see a red car (    ) there?", "over", "in", "at", "「~」というときは、 ~ の形を使います。"
"熟語・副詞","私は雪を初めてみました。 \n I saw snow (    ) the first time.", "for", "in", "on", "「~」というときは、 ~ の形を使います。"
"熟語・副詞","すぐに部屋を掃除しなさい。 \n Clean the room at (    ).", "once", "now", "yet", "「~」というときは、 ~ の形を使います。"
"熟語・副詞","その質問は最初は簡単に見えました。 \n The question looked easy (    ) first.", "at", "on", "in", "「~」というときは、 ~ の形を使います。"
"熟語・副詞","この歌は世界中で有名です。 \n This song is famous all (    ) the world.", "over", "at", "under", "「~」というときは、 ~ の形を使います。"
"熟語・副詞","私たちは放課後にサッカーをします。 \n We play soccer (    ) school.", "after", "in", "at", "「~」というときは、 ~ の形を使います。"
"熟語・副詞","私の家は図書館の隣にあります。 \n My house is (    ) to the library.", "next", "in", "on", "「~」というときは、 ~ の形を使います。"
